         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
3.16228e+00 2.01765e+03 1.62907e-07 1.89332e-03 1.90938e-03 9.46729e-01 8.96297e-01 8.45716e-01 8.96291e-01 2.00000e-17 2.77002e-27 2.77008e-27 
3.54813e+00 1.99217e+03 2.03152e-07 1.69838e-03 1.71443e-03 9.44910e-01 8.92855e-01 8.28642e-01 8.92848e-01 2.00000e-17 2.87043e-27 2.87041e-27 
3.98107e+00 1.97704e+03 2.50963e-07 1.52535e-03 1.54139e-03 9.43030e-01 8.89306e-01 8.08785e-01 8.89298e-01 2.00000e-17 2.97224e-27 2.97230e-27 
4.46684e+00 1.97167e+03 3.07740e-07 1.37144e-03 1.38748e-03 9.41088e-01 8.85647e-01 7.85769e-01 8.85638e-01 2.00000e-17 3.07514e-27 3.07524e-27 
5.01187e+00 1.97557e+03 3.75436e-07 1.23423e-03 1.25027e-03 9.39082e-01 8.81875e-01 7.59136e-01 8.81865e-01 2.00000e-17 3.17877e-27 3.17883e-27 
5.62341e+00 1.98835e+03 4.56890e-07 1.11163e-03 1.12766e-03 9.37010e-01 8.77988e-01 7.28310e-01 8.77977e-01 2.00000e-17 3.28275e-27 3.28271e-27 
6.30957e+00 2.00967e+03 5.56385e-07 1.00182e-03 1.01785e-03 9.34870e-01 8.73983e-01 6.92541e-01 8.73969e-01 2.00000e-17 3.38670e-27 3.38656e-27 
7.07946e+00 2.03928e+03 6.80712e-07 9.03272e-04 9.19298e-04 9.32660e-01 8.69855e-01 6.50801e-01 8.69840e-01 2.00000e-17 3.49022e-27 3.49005e-27 
7.94328e+00 2.07702e+03 8.41420e-07 8.14660e-04 8.30682e-04 9.30378e-01 8.65604e-01 6.01612e-01 8.65587e-01 2.00000e-17 3.59298e-27 3.59289e-27 
8.91251e+00 2.12279e+03 1.06030e-06 7.34847e-04 7.50867e-04 9.28022e-01 8.61225e-01 5.42634e-01 8.61205e-01 2.00000e-17 3.69466e-27 3.69476e-27 
1.00000e+01 2.17655e+03 1.38789e-06 6.62893e-04 6.78910e-04 9.25589e-01 8.56715e-01 4.69256e-01 8.56693e-01 2.00000e-17 3.79496e-27 3.79523e-27 
1.12202e+01 2.23845e+03 1.97878e-06 5.97875e-04 6.13890e-04 9.23077e-01 8.52071e-01 3.70706e-01 8.52047e-01 2.00000e-17 3.89393e-27 3.89420e-27 
1.25893e+01 2.30795e+03 4.12976e-06 5.39090e-04 5.55102e-04 9.20484e-01 8.47291e-01 1.92508e-01 8.47263e-01 2.00000e-17 3.99038e-27 3.99017e-27 
1.41254e+01 2.37801e+03 8.09575e-04 4.84944e-04 5.00965e-04 9.17808e-01 8.42371e-01 1.10741e-03 8.42177e-01 2.00000e-17 4.08363e-27 4.08338e-27 
1.58489e+01 2.46510e+03 1.10147e-03 4.36695e-04 4.52717e-04 9.15046e-01 8.37309e-01 9.18867e-04 8.37045e-01 2.00000e-17 4.17640e-27 4.17651e-27 
