         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
2.23872e+04 1.28709e+06 1.17884e-02 1.11261e-07 3.70336e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 8.21926e-26 8.21926e-26 
2.51189e+04 1.48386e+06 1.32952e-02 9.87782e-08 3.38119e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.49588e-26 9.49588e-26 
2.81838e+04 1.70608e+06 1.49766e-02 8.76571e-08 3.08044e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.09865e-25 1.09865e-25 
3.16228e+04 1.95784e+06 1.68537e-02 7.77498e-08 2.80108e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.27334e-25 1.27334e-25 
3.54813e+04 2.24521e+06 1.89527e-02 6.89245e-08 2.54290e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.47917e-25 1.47917e-25 
3.98107e+04 2.57246e+06 2.12962e-02 6.10632e-08 2.30498e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.72208e-25 1.72208e-25 
4.46684e+04 2.94605e+06 2.39118e-02 5.40611e-08 2.08650e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 2.00966e-25 2.00966e-25 
5.01187e+04 3.37381e+06 2.68302e-02 4.78246e-08 1.88650e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 2.35125e-25 2.35125e-25 
5.62341e+04 3.86617e+06 3.00868e-02 4.22706e-08 1.70403e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 2.75866e-25 2.75866e-25 
6.30957e+04 4.43265e+06 3.37145e-02 3.73249e-08 1.53786e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 3.24539e-25 3.24539e-25 
7.07946e+04 5.08613e+06 3.77509e-02 3.29217e-08 1.38687e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 3.82841e-25 3.82841e-25 
7.94328e+04 5.84212e+06 4.22363e-02 2.90022e-08 1.24997e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 4.52849e-25 4.52849e-25 
8.91251e+04 6.72023e+06 4.72141e-02 2.55143e-08 1.12609e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 5.37139e-25 5.37139e-25 
1.00000e+05 7.74324e+06 5.27275e-02 2.24116e-08 1.01417e-06 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 6.38826e-25 6.38826e-25 
1.12202e+05 8.93896e+06 5.88203e-02 1.96528e-08 9.13212e-07 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 7.61720e-25 7.61720e-25 
